train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
G2605/G2608,1,秦皇岛,始发站,14:02,,0分,1,0,0,0,0,0/0/0,0/0,0/0
G2605/G2608,2,北戴河,14:13,14:19,6分钟,11分,1,21,0,0,0,0/0/0,0/0,9.5/16
G2605/G2608,3,滦河,14:37,14:39,2分钟,35分,1,86,0,0,0,0/0/0,0/0,39.5/66.5
G2605/G2608,4,唐山,14:57,14:59,2分钟,55分,1,147,0,0,0,0/0/0,0/0,67.5/113.5
G2605/G2608,5,滨海西,15:19,15:21,2分钟,1小时17分,1,223,0,0,0,0/0/0,0/0,102.5/172.5
G2605/G2608,6,天津,15:38,15:41,3分钟,1小时36分,1,261,0,0,0,0/0/0,0/0,120/202
G2605/G2608,7,天津西,15:49,15:54,5分钟,1小时47分,1,266,0,0,0,0/0/0,0/0,122/205.5
G2605/G2608,8,胜芳,16:11,16:13,2分钟,2小时9分,1,302,0,0,0,0/0/0,0/0,135.5/227
G2605/G2608,9,白沟,16:37,16:39,2分钟,2小时35分,1,362,0,0,0,0/0/0,0/0,157.5/262.5
G2605/G2608,10,保定东,17:06,17:08,2分钟,3小时4分,1,416,0,0,0,0/0/0,0/0,179.5/297.5
G2605/G2608,11,石家庄,17:44,17:47,3分钟,3小时42分,1,558,0,0,0,0/0/0,0/0,244.5/402
G2605/G2608,12,阳泉北,18:27,18:30,3分钟,4小时25分,1,661,0,0,0,0/0/0,0/0,275/438
G2605/G2608,13,太原南,19:16,终点站,,5小时14分,1,790,0,0,0,0/0/0,0/0,312.5/483.5
