train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
D2312,1,深圳北,始发站,16:44,,0分,1,0,0,0,0,0/0/0,0/0,0/0
D2312,2,惠州南,17:10,17:12,2分钟,26分,1,59,0,0,0,0/0/0,0/0,20/31
D2312,3,陆丰,17:58,18:00,2分钟,1小时14分,1,191,0,0,0,0/0/0,0/0,67/107
D2312,4,普宁,18:24,18:26,2分钟,1小时40分,1,252,0,0,0,0/0/0,0/0,88/141
D2312,5,潮汕,18:51,18:55,4分钟,2小时7分,1,305,0,0,0,0/0/0,0/0,96/154
D2312,6,饶平,19:14,19:18,4分钟,2小时30分,1,346,0,0,0,0/0/0,0/0,102/122
D2312,7,诏安,19:29,19:31,2分钟,2小时45分,1,364,0,0,0,0/0/0,0/0,115/184
D2312,8,漳州,20:09,20:12,3分钟,3小时25分,1,472,0,0,0,0/0/0,0/0,165/265
D2312,9,厦门北,20:33,20:37,4分钟,3小时49分,1,514,0,0,0,0/0/0,0/0,180/288
D2312,10,泉州,21:03,21:05,2分钟,4小时19分,1,585,0,0,0,0/0/0,0/0,205/328
D2312,11,仙游,21:23,21:26,3分钟,4小时39分,1,630,0,0,0,0/0/0,0/0,220/352
D2312,12,福州南,22:03,终点站,,5小时19分,1,740,0,0,0,0/0/0,0/0,259/414
