train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
D3925/D3928,1,昆明南,始发站,15:47,,0分,1,0,0,0,0,0/0/0,0/0,0/0
D3925/D3928,2,石林西,16:05,16:07,2分钟,18分,1,49,0,0,0,0/0/0,0/0,18/29
D3925/D3928,3,弥勒,16:22,16:24,2分钟,35分,1,92,0,0,0,0/0/0,0/0,34/54.5
D3925/D3928,4,普者黑,16:58,17:02,4分钟,1小时11分,1,203,0,0,0,0/0/0,0/0,75/120.5
D3925/D3928,5,珠琳,17:18,17:20,2分钟,1小时31分,1,250,0,0,0,0/0/0,0/0,92.5/148
D3925/D3928,6,广南县,17:37,17:39,2分钟,1小时50分,1,295,0,0,0,0/0/0,0/0,109/175
D3925/D3928,7,富宁,18:01,18:03,2分钟,2小时14分,1,366,0,0,0,0/0/0,0/0,135.5/217
D3925/D3928,8,百色,18:43,18:48,5分钟,2小时56分,1,486,0,0,0,0/0/0,0/0,180/288
D3925/D3928,9,田阳,19:02,19:06,4分钟,3小时15分,1,517,0,0,0,0/0/0,0/0,191.5/306.5
D3925/D3928,10,田东北,19:16,19:18,2分钟,3小时29分,1,541,0,0,0,0/0/0,0/0,200.5/320.5
D3925/D3928,11,平果,19:38,19:42,4分钟,3小时51分,1,601,0,0,0,0/0/0,0/0,222.5/356
D3925/D3928,12,南宁西,20:02,20:04,2分钟,4小时15分,1,665,0,0,0,0/0/0,0/0,246/394
D3925/D3928,13,南宁,20:26,20:35,9分钟,4小时39分,1,709,0,0,0,0/0/0,0/0,262.5/420
D3925/D3928,14,南宁东,20:46,20:49,3分钟,4小时59分,1,720,0,0,0,0/0/0,0/0,268/430
D3925/D3928,15,钦州东,21:31,21:33,2分钟,5小时44分,1,826,0,0,0,0/0/0,0/0,296.5/475
D3925/D3928,16,北海,22:09,终点站,,6小时22分,1,917,0,0,0,0/0/0,0/0,323.5/493
