train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
D3826/D3827,1,广州南,始发站,09:54,,0分,1,0,0,0,0,0/0/0,0/0,0/0
D3826/D3827,2,佛山西,10:13,10:15,2分钟,19分,1,33,0,0,0,0/0/0,0/0,10/16
D3826/D3827,3,肇庆东,10:36,10:38,2分钟,42分,1,76,0,0,0,0/0/0,0/0,23.5/38
D3826/D3827,4,南江口,11:09,11:11,2分钟,1小时15分,1,176,0,0,0,0/0/0,0/0,54.5/65
D3826/D3827,5,梧州南,11:33,11:36,3分钟,1小时39分,1,246,0,0,0,0/0/0,0/0,76/121
D3826/D3827,6,平南南,12:03,12:05,2分钟,2小时9分,1,330,0,0,0,0/0/0,0/0,100.5/160
D3826/D3827,7,贵港,12:33,12:35,2分钟,2小时39分,1,423,0,0,0,0/0/0,0/0,128/204
D3826/D3827,8,宾阳,12:56,12:58,2分钟,3小时2分,1,563,0,0,0,0/0/0,0/0,144.5/173
D3826/D3827,9,南宁东,13:24,13:29,5分钟,3小时30分,1,563,0,0,0,0/0/0,0/0,169/269
D3826/D3827,10,南宁,13:40,13:45,5分钟,3小时46分,1,574,0,0,0,0/0/0,0/0,172/275
D3826/D3827,11,隆安东,14:16,14:18,2分钟,4小时22分,1,657,0,0,0,0/0/0,0/0,202.5/255.5
D3826/D3827,12,百色,15:03,15:08,5分钟,5小时9分,1,797,0,0,0,0/0/0,0/0,254.5/407
D3826/D3827,13,富宁,15:46,15:48,2分钟,5小时52分,1,917,0,0,0,0/0/0,0/0,299/409.5
D3826/D3827,14,广南县,16:12,16:15,3分钟,6小时18分,1,988,0,0,0,0/0/0,0/0,325.5/520.5
D3826/D3827,15,珠琳,16:31,16:34,3分钟,6小时37分,1,1033,0,0,0,0/0/0,0/0,342/547
D3826/D3827,16,弥勒,17:19,17:22,3分钟,7小时25分,1,1191,0,0,0,0/0/0,0/0,400.5/572
D3826/D3827,17,昆明南,17:53,终点站,,7小时59分,1,1283,0,0,0,0/0/0,0/0,434.5/626.5
