train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
G712,1,哈尔滨西,始发站,12:00,,0分,1,0,0,0,0,0/0/0,0/0,0/0
G712,2,长春西,12:56,12:58,2分钟,56分,1,240,0,0,0,0/0/0,0/0,109.5/176.5
G712,3,四平东,13:24,13:26,2分钟,1小时24分,1,358,0,0,0,0/0/0,0/0,164.5/262.5
G712,4,沈阳北,14:10,14:13,3分钟,2小时10分,1,538,0,0,0,0/0/0,0/0,245/392
G712,5,沈阳南,14:28,14:29,1分钟,2小时28分,1,558,0,0,0,0/0/0,0/0,253.5/405.5
G712,6,鞍山西,14:52,14:54,2分钟,2小时52分,1,638,0,0,0,0/0/0,0/0,286/458
G712,7,鲅鱼圈,15:27,15:34,7分钟,3小时27分,1,772,0,0,0,0/0/0,0/0,342/547
G712,8,大连北,16:14,终点站,,4小时14分,1,921,0,0,0,0/0/0,0/0,403.5/645.5
