train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
D2501,1,太原南,始发站,07:00,,-1分,1,0,0,0,0,0/0/0,0/0,0/0
D2501,2,介休东,07:35,07:37,2分钟,-1分,1,111,0,0,0,0/0/0,0/0,34/41
D2501,3,临汾西,08:17,08:19,2分钟,-1分,1,233,0,0,0,0/0/0,0/0,72/86.5
D2501,4,侯马西,08:39,08:41,2分钟,-1分,1,292,0,0,0,0/0/0,0/0,90/108
D2501,5,运城北,09:04,09:06,2分钟,-1分,1,356,0,0,0,0/0/0,0/0,110/132
D2501,6,永济北,09:25,09:27,2分钟,-1分,1,409,0,0,0,0/0/0,0/0,126/151.5
D2501,7,大荔,09:46,09:48,2分钟,-1分,1,463,0,0,0,0/0/0,0/0,143/229
D2501,8,渭南北,10:06,10:08,2分钟,-1分,1,516,0,0,0,0/0/0,0/0,159/191
D2501,9,西安北,10:32,终点站,,-1分,1,579,0,0,0,0/0/0,0/0,178.5/222
