train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
Y510,1,秦皇岛,始发站,13:13,,0分,1,0,-,-,0,0/0/0,0/0,0/0
Y510,2,北戴河,13:30,13:33,3分钟,17分,1,22,-,11,0,0/0/0,80/86,0/0
Y510,3,滦县,14:18,14:20,2分钟,1小时5分,1,91,-,23.5,0,61.5/66.5/69.5,92.5/99,0/0
Y510,4,唐山北,14:57,15:00,3分钟,1小时44分,1,148,-,35.5,0,0/0/0,104.5/111,0/0
Y510,5,玉田县,15:22,15:24,2分钟,2小时9分,1,241,-,44.5,0,74.5/79.5/82.5,113.5/121,0/0
Y510,6,北京,16:45,终点站,,3小时32分,1,299,-,66.5,0,0/0/0,135.5/141.5,0/0
