train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
D5351,1,怀仁东,始发站,08:50,,0分,1,0,0,0,0,0/0/0,0/0,0/0
D5351,2,山阴,09:11,09:13,2分钟,21分,1,43,0,0,0,0/0/0,0/0,13/21
D5351,3,原平西,09:55,09:57,2分钟,1小时5分,1,128,0,0,0,0/0/0,0/0,39/63
D5351,4,忻州西,10:11,10:13,2分钟,1小时21分,1,162,0,0,0,0/0/0,0/0,50/80
D5351,5,太原南,10:51,11:16,25分钟,2小时1分,1,239,0,0,0,0/0/0,0/0,74/118
D5351,6,太谷西,11:35,11:38,3分钟,2小时45分,1,286,0,0,0,0/0/0,0/0,88.5/141
D5351,7,介休东,12:00,12:02,2分钟,3小时10分,1,350,0,0,0,0/0/0,0/0,108/173
D5351,8,洪洞西,12:37,终点站,,3小时47分,1,452,0,0,0,0/0/0,0/0,139.5/223
