train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
G6345/G6348,1,广州南,始发站,20:38,,0分,1,0,0,0,0,0/0/0,0/0,0/0
G6345/G6348,2,虎门,20:55,20:57,2分钟,17分,1,50,0,0,0,0/0/0,0/0,34.5/49.5
G6345/G6348,3,深圳北,21:14,21:18,4分钟,36分,1,102,0,0,0,0/0/0,0/0,74.5/99.5
G6345/G6348,4,惠州南,21:44,21:50,6分钟,1小时6分,1,158,0,0,0,0/0/0,0/0,94.5/130.5
G6345/G6348,5,普宁,22:56,22:58,2分钟,2小时18分,1,354,0,0,0,0/0/0,0/0,162.5/240.5
G6345/G6348,6,潮汕,23:22,终点站,,2小时44分,1,407,0,0,0,0/0/0,0/0,181.5/270.5
