train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
C7014,1,深圳,始发站,08:40,,0分,1,0,0,0,0,0/0/0,0/0,0/0
C7014,2,樟木头,09:01,09:03,2分钟,21分,1,44,0,0,0,0/0/0,0/0,39.5/44.5
C7014,3,常平,09:10,09:12,2分钟,30分,1,57,0,0,0,0/0/0,0/0,44.5/49.5
C7014,4,东莞,09:22,09:24,2分钟,42分,1,76,0,0,0,0/0/0,0/0,53.5/58.5
C7014,5,广州东,09:59,10:05,6分钟,1小时19分,1,147,0,0,0,0/0/0,0/0,79.5/99.5
C7014,6,广州,10:15,终点站,,1小时35分,1,147,0,0,0,0/0/0,0/0,79.5/99.5
