 station_train_code,departure_destination_station,train_number
C2596,滨海-北京南,5000C25960I
C2597,北京南-滨海,4000C259706
C2605,北京南-天津西,4000C260503
C2608,天津西-北京南,5000C260805
C2610,天津西-北京南,5000C261006
C2613,北京南-天津西,4000C26130O
C2614,天津西-北京南,5000C26140D
C2615,北京南-天津西,4000C26150W
C2616,天津西-北京南,5000C261613
C2617,北京南-天津西,4000C261703
C2619,北京南-天津西,4000C261902
C2621,北京南-天津西,4000C262104
C2622,天津西-北京南,5000C262202
C2623,北京南-天津西,4000C262303
C2624,天津西-北京南,5000C262402
C2625,北京南-天津西,4000C262503
C2626,天津西-北京南,5000C262602
C2627,北京南-天津西,4000C262703
C2628,天津西-北京南,5000C262802
C2629,北京南-天津西,4000C262903
C2630,天津西-北京南,5000C263003
C2631,北京南-天津西,4000C263101
C2632,天津西-北京南,5000C263201
C2633,北京南-天津西,4000C263301
C2634,天津西-北京南,5000C263401
C2635,北京南-天津西,4000C263501
C2637,北京南-天津西,4000C263701
C2638,天津西-北京南,5000C263801
C2639,北京南-天津西,4000C263901
C2640,天津西-北京南,5000C264001
C2641,北京南-天津西,4000C26410A
C2642,天津西-北京南,5000C264201
C2643,北京南-天津西,4000C264301
C2644,天津西-北京南,5000C264401
C2646,天津西-北京南,5000C264601
C2647,北京南-天津西,4000C264701
C2648,天津西-北京南,5000C264801
C2649,北京南-天津西,4000C264901
C2650,天津西-北京南,5000C265001
C2651,北京南-天津西,4000C265101
C2652,天津西-北京南,5000C265201
C2653,北京南-天津西,4000C265301
C2654,天津西-北京南,5000C265401
C2655,北京南-天津西,4000C265501
C2657,北京南-天津西,4000C265701
C2660,天津西-北京南,5000C266001
C2661,北京南-天津西,4000C266101
C2664,天津西-北京南,5000C266401
C2666,天津西-北京南,5000C266601
C2668,天津西-北京南,5000C266801
C2669,北京南-天津西,4000C266901
C2671,北京南-天津西,4000C267101
C2674,天津西-北京南,5000C267401
C2678,天津西-北京南,5000C267801
C2701,北京西-大兴机场,4000C270100
C2702,大兴机场-北京西,4000C270200
C2703,北京西-大兴机场,4000C270300
C2704,大兴机场-北京西,4000C270400
C2705,北京西-大兴机场,4000C270500
C2706,大兴机场-北京西,4000C270600
C2707,北京西-大兴机场,4000C270700
C2708,大兴机场-北京西,4000C270800
C2709,北京西-大兴机场,4000C270900
C2710,大兴机场-北京西,4000C271000
C2711,北京西-大兴机场,4000C271100
C2712,大兴机场-北京西,4000C271200
C2713,北京西-大兴机场,4000C271300
C2714,大兴机场-北京西,4000C271400
C2715,北京西-大兴机场,4000C271500
C2716,大兴机场-北京西,4000C271600
C2717,北京西-大兴机场,4000C271700
C2718,大兴机场-北京西,4000C271800
C2719,北京西-大兴机场,4000C271900
C2720,大兴机场-北京西,4000C272000
C2721,北京西-大兴机场,4000C272100
C2722,大兴机场-北京西,4000C272200
C2723,北京西-大兴机场,4000C272300
C2724,大兴机场-北京西,4000C272400
C2801,郑州东-新郑机场,8000C280130
C2802,新郑机场-宋城路,8000C280230
C2803,宋城路-新郑机场,8000C280330
C2804,新郑机场-宋城路,8000C280430
C2805,宋城路-新郑机场,8000C280540
C2806,新郑机场-宋城路,8000C280640
C2807,宋城路-新郑机场,8000C280740
C2808,新郑机场-宋城路,8000C280840
C2809,宋城路-新郑机场,8000C280940
C2810,新郑机场-宋城路,8000C281030
C2811,宋城路-新郑机场,8000C281140
C2812,新郑机场-郑州,8000C281220
C2822,郑州东-宋城路,8000C282206
C2823,宋城路-新郑机场,8000C282330
C2824,新郑机场-宋城路,8000C282430
C2825,宋城路-新郑机场,8000C282530
C2826,新郑机场-宋城路,8000C282630
C2827,宋城路-新郑机场,8000C282730
C2828,新郑机场-宋城路,8000C282830
C2829,宋城路-新郑机场,8000C282930
C2830,新郑机场-宋城路,8000C283006
C2831,宋城路-新郑机场,8000C283150
C2832,新郑机场-宋城路,8000C283250
C2833,宋城路-郑州,8000C283306
C2841,郑州-新郑机场,8000C284102
C2848,新郑机场-郑州东,8000C284800
C2849,郑州东-新郑机场,8000C284900
C2850,新郑机场-郑州东,8000C285000
C2851,郑州东-新郑机场,8000C285120
C2852,新郑机场-郑州东,8000C285230
C2853,郑州东-新郑机场,8000C285320
C2854,新郑机场-郑州东,8000C285420
C2855,郑州东-新郑机场,8000C285520
