train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
T5687,1,北京,始发站,09:36,,0分,1,0,-,-,0,0/0/0,0/0,0/0
T5687,2,燕郊,10:03,10:19,16分钟,27分,1,36,9,-,0,55/60/63,81.5/87.5,0/0
T5687,3,玉田县,10:59,11:01,2分钟,1小时23分,1,117,18.5,-,0,64.5/69.5/72.5,97.5/103.5,0/0
T5687,4,唐山北,11:24,11:27,3分钟,1小时48分,1,151,23.5,-,0,69.5/74.5/77.5,105.5/111.5,0/0
T5687,5,滦县,11:59,12:19,20分钟,2小时23分,1,208,32.5,-,0,78.5/83.5/86.5,118.5/124.5,0/0
T5687,6,昌黎,12:41,12:44,3分钟,3小时5分,1,249,40.5,-,0,86.5/91.5/94.5,129.5/135.5,0/0
T5687,7,北戴河,13:02,13:08,6分钟,3小时26分,1,277,41.5,-,0,87.5/92.5/95.5,132.5/138.5,0/0
T5687,8,秦皇岛,13:26,终点站,,3小时50分,1,299,43.5,-,0,89.5/94.5/97.5,135.5/141.5,0/0
