train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
D8721/D8724,1,大理,始发站,19:27,,0分,1,0,0,0,0,0/0/0,0/0,0/0
D8721/D8724,2,祥云,19:48,19:50,2分钟,21分,1,37,0,0,0,0/0/0,0/0,16/26
D8721/D8724,3,楚雄,20:29,20:31,2分钟,1小时2分,1,148,0,0,0,0/0/0,0/0,74/118
D8721/D8724,4,禄丰南,20:56,20:58,2分钟,1小时29分,1,229,0,0,0,0/0/0,0/0,108/172
D8721/D8724,5,昆明,21:34,21:39,5分钟,2小时7分,1,328,0,0,0,0/0/0,0/0,145/231
D8721/D8724,6,昆明南,21:57,终点站,,2小时30分,1,356,0,0,0,0/0/0,0/0,155.5/247.5
