train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
D1977/D1980,1,重庆北,始发站,14:16,,0分,1,0,0,0,0,0/0/0,0/0,0/0
D1977/D1980,2,合川,14:41,14:43,2分钟,25分,1,56,0,0,0,0/0/0,0/0,19.5/24.5
D1977/D1980,3,武胜,15:09,15:12,3分钟,53分,1,108,0,0,0,0/0/0,0/0,37/51.5
D1977/D1980,4,南部,16:04,16:06,2分钟,1小时48分,1,226,0,0,0,0/0/0,0/0,80.5/121
D1977/D1980,5,广元,17:04,17:09,5分钟,2小时48分,1,353,0,0,0,0/0/0,0/0,114/184
D1977/D1980,6,汉中,17:52,17:55,3分钟,3小时36分,1,491,0,0,0,0/0/0,0/0,182.5/292
D1977/D1980,7,城固北,18:07,18:16,9分钟,3小时51分,1,519,0,0,0,0/0/0,0/0,193.5/310
D1977/D1980,8,佛坪,18:39,18:41,2分钟,4小时23分,1,593,0,0,0,0/0/0,0/0,223.5/358
D1977/D1980,9,西安北,19:25,终点站,,5小时9分,1,733,0,0,0,0/0/0,0/0,279.5/439.5
