train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
C7826,1,株洲南,始发站,11:55,,0分,1,0,0,0,0,0/0/0,0/0,0/0
C7826,2,大丰,12:04,12:05,1分钟,9分,1,13,0,0,0,0/0/0,0/0,6/0
C7826,3,田心东,12:08,12:10,2分钟,13分,1,16,0,0,0,0/0/0,0/0,6/0
C7826,4,九郎山,12:15,12:17,2分钟,20分,1,22,0,0,0,0/0/0,0/0,15/0
C7826,5,先锋,12:29,12:30,1分钟,34分,1,42,0,0,0,0/0/0,0/0,17/0
C7826,6,湘府路,12:35,12:37,2分钟,40分,1,48,0,0,0,0/0/0,0/0,0/0
C7826,7,香樟路,12:40,12:42,2分钟,45分,1,51,0,0,0,0/0/0,0/0,21/0
C7826,8,长沙,12:48,终点站,,53分,1,58,0,0,0,0/0/0,0/0,23/0
